video,true_label,prediction,fake_confidence,real_confidence,risk_score,risk_level
vs1.mp4,0,FAKE,0.583,0.417,58.3,MEDIUM RISK
vs10.mp4,0,FAKE,0.5559,0.4441,55.59,MEDIUM RISK
vs11.mp4,0,REAL,0.4622,0.5378,46.22,MEDIUM RISK
vs12.mp4,0,FAKE,0.5571,0.4429,55.71,MEDIUM RISK
vs13.mp4,0,FAKE,0.5144,0.4856,51.44,MEDIUM RISK
v1.mp4,1,FAKE,0.5316,0.4684,53.16,MEDIUM RISK
v10.mp4,1,FAKE,0.5437,0.4563,54.37,MEDIUM RISK
v11.mp4,1,REAL,0.463,0.537,46.3,MEDIUM RISK
v12.mp4,1,FAKE,0.5752,0.4248,57.52,MEDIUM RISK
v13.mp4,1,FAKE,0.5133,0.4867,51.33,MEDIUM RISK
